"entity","years_in_sample","political_regime","democracy_index","cpi","extreme_poverty","gini","gdp_pc","modal_regime","modal_regime_family","years_with_aid","china_aid_usd2021_total","china_aid_usd2021_unadjusted_total","china_project_count_total","china_loan_share","china_development_intent_share","china_aid_usd2021","china_project_count","aid_any","log_china_aid","log_china_aid_total","log_gdp_pc","autocracy_score","regime_family","regime_label"
"Afghanistan",9,0.888888888888889,2.45666666666667,12.8333333333333,NA,NA,2854.16535555556,NA,NA,9,272971555.28242,272971555.28242,84,0,0.94047619047619,30330172.8091577,9.33333333333333,1,17.2276536102503,19.4248781582795,7.95653473453487,2.11111111111111,NA,"Electoral autocracy"
"Albania",9,2,5.91111111111111,35.5,0.2457751,0.319754671428571,14280.1137777778,"Electoral democracy","Democratic",9,11264563.6325502,11264563.6325502,33,0,0.787878787878788,1251618.18139446,3.66666666666667,1,14.0399486161584,16.2371724833032,9.56662320349333,1,"Democratic","Electoral democracy"
"Algeria",9,1,3.75333333333333,35,NA,NA,15029.3852222222,"Electoral autocracy","Authoritarian",9,123673222.841656,123673222.841656,24,0.0416666666666667,0.916666666666667,13741469.2046284,2.66666666666667,1,16.4359288408267,18.6331533534763,9.61776257853203,2,"Authoritarian","Electoral autocracy"
"American Samoa",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"Andorra",9,NA,NA,NA,NA,NA,60899.3574444444,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.016977902648,NA,NA,NA
"Angola",9,1,3.49333333333333,18.8333333333333,31.122005,0.51263994,8962.91316666667,"Electoral autocracy","Authoritarian",9,42019927609.3369,42019927609.4199,206,0.640776699029126,0.514563106796116,4668880845.48188,22.8888888888889,1,22.2641852324729,24.4614098096187,9.10085058333394,2,"Authoritarian","Electoral autocracy"
"Antigua and Barbuda",9,NA,NA,NA,NA,NA,26497.3826666667,NA,NA,8,292484538.15278,292484538.15278,33,0.0606060606060606,0.93939393939394,32498282.0169755,3.66666666666667,1,17.2966978156575,19.4939223656418,10.1848012398009,NA,NA,NA
"Argentina",9,2,6.93555555555556,35.8333333333333,NA,NA,27378.7472222222,"Electoral democracy","Democratic",9,33816561746.3267,134730079825.004,151,0.516556291390728,0.450331125827815,3757395749.59185,16.7777777777778,1,22.0469919348531,24.2442165119527,10.217522342581,1,"Democratic","Electoral democracy"
"Armenia",9,1.44444444444444,4.59,35.1666666666667,1.05142131111111,0.309028843333333,14182.0077777778,NA,NA,8,72561404.7346445,72561404.7346445,25,0.04,0.76,8062378.30384939,2.77777777777778,1,15.9027192699089,18.0999437369937,9.55972938228981,1.55555555555556,NA,"Electoral autocracy"
"Aruba",9,NA,NA,NA,NA,NA,36207.3496666667,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.4970174066721,NA,NA,NA
"Australia",9,3,9.03222222222222,78.8333333333333,0.49810652,0.341386613333333,55744.5577777778,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.9285350662216,0,"Democratic","Liberal democracy"
"Austria",9,2.88888888888889,8.35555555555556,73.8333333333333,0.511111251111111,0.304345284444444,62710.786,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.0462887373447,0.111111111111111,NA,"Liberal democracy"
"Azerbaijan",9,1,2.74,28.6666666666667,NA,NA,20054.5612222222,"Electoral autocracy","Authoritarian",8,1193565697.29456,1193565697.29456,37,0.378378378378378,0.648648648648649,132618410.810506,4.11111111111111,1,18.7029864783432,20.9002110489768,9.90621189924241,2,"Authoritarian","Electoral autocracy"
"Bahamas",9,NA,NA,67.6,NA,NA,31226.4976666667,NA,NA,9,2444484.64960603,2444484.64960603,28,0,0.964285714285714,271609.405511781,3.11111111111111,1,12.5121239858318,14.7093452905013,10.3490222975479,NA,NA,NA
"Bahrain",9,0,2.7,43.8333333333333,NA,NA,54774.5487777778,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,10.9109809266895,3,"Authoritarian","Closed autocracy"
"Bangladesh",9,1,5.77333333333333,26.1666666666667,13.468303,0.32385272,6068.834,"Electoral autocracy","Authoritarian",9,17842176362.9728,17842176362.9728,91,0.406593406593407,0.659340659340659,1982464040.33031,10.1111111111111,1,21.4076063732661,23.6048309501539,8.71092177334446,2,"Authoritarian","Electoral autocracy"
"Barbados",9,2.77777777777778,NA,69.2,NA,NA,17978.9635555556,NA,NA,9,237598223.227316,237598223.227316,64,0.046875,0.75,26399802.5808128,7.11111111111111,1,17.0888671279681,19.2860916716341,9.79695766206798,0.222222222222222,NA,"Liberal democracy"
"Belarus",9,1,3.07,36.6666666666667,0,0.2562973225,26231.227,"Electoral autocracy","Authoritarian",9,5873261371.66485,5873261371.65308,83,0.373493975903614,0.566265060240964,652584596.85165,9.22222222222222,1,20.296451340637,22.4936759166111,10.1747058502647,2,"Authoritarian","Electoral autocracy"
"Belgium",9,3,7.76666666666667,75.8333333333333,0.082644914,0.272744627777778,59522.6697777778,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.9941125236384,0,"Democratic","Liberal democracy"
"Belize",9,NA,NA,NA,NA,NA,11694.6577777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.3668874163223,NA,NA,NA
"Benin",9,1.66666666666667,5.34666666666667,37.8333333333333,27.8382416666667,0.39991364,3117.28647777778,NA,NA,9,2048467617.26078,2048467617.26078,99,0.121212121212121,0.909090909090909,227607513.028975,11,1,19.2431332738586,21.4403578472894,8.04471818371785,1.33333333333333,NA,"Electoral democracy"
"Bermuda",9,NA,NA,NA,NA,NA,93241.3231111111,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.4429462834299,NA,NA,NA
"Bhutan",9,2.11111111111111,5.18333333333333,65.5,0.94576234,0.3744141,13001.0452777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.47278503919419,0.888888888888889,NA,"Electoral democracy"
"Bolivia",9,1.66666666666667,5.41333333333333,33,3.87933985555556,0.445322255555556,9322.08261111111,NA,NA,9,1957210474.08111,1957210474.08111,67,0.119402985074627,0.82089552238806,217467830.453457,7.44444444444444,1,19.1975614961911,21.3947860694399,9.14014133884484,1.33333333333333,NA,"Electoral democracy"
"Bosnia and Herzegovina",9,2,4.89888888888889,39,NA,NA,15734.9551111111,"Electoral democracy","Democratic",9,1624726591.66119,1624726591.66119,35,0.114285714285714,0.657142857142857,180525176.851243,3.88888888888889,1,19.01138081549,21.2086053879023,9.6636399566893,1,"Democratic","Electoral democracy"
"Botswana",9,2.88888888888889,7.81888888888889,62,15.426243,0.5332503,17095.2614444444,NA,NA,9,52226306.1274037,52226306.1274037,68,0,0.955882352941177,5802922.90304485,7.55555555555556,1,15.5738724697049,17.7710968938616,9.74655659557707,0.111111111111111,NA,"Liberal democracy"
"Brazil",9,2,6.98111111111111,39.1666666666667,4.38548962222222,0.525073262222222,18162.9717777778,"Electoral democracy","Democratic",9,33823164100.6493,33823164100.6493,131,0.748091603053435,0.267175572519084,3758129344.51659,14.5555555555556,1,22.0471871560565,24.2444117331562,9.8071402829178,1,"Democratic","Electoral democracy"
"British Virgin Islands",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"Brunei",9,NA,NA,60.75,NA,NA,80725.7627777778,NA,NA,8,2144865891.16212,2144865891.16212,42,0.166666666666667,0.761904761904762,238318432.351347,4.66666666666667,1,19.2891182926289,21.4863428662353,11.2988130446717,NA,NA,NA
