"sector_code","sector_name","entity","total_aid_usd2021","funded_project_count","rank_within_sector"
"All projects","All projects","Russia",98583779737.8617,144,1
"All projects","All projects","Pakistan",55820108063.1667,199,2
"All projects","All projects","Venezuela",48516548348.6786,25,3
"All projects","All projects","Angola",42019927609.3369,124,4
"All projects","All projects","Indonesia",34762443287.158,201,5
"All projects","All projects","Brazil",33823164100.6493,115,6
"All projects","All projects","Argentina",33816561746.3267,116,7
"All projects","All projects","Turkey",24391461174.8795,114,8
"All projects","All projects","Bangladesh",17842176362.9728,59,9
"All projects","All projects","Iran",17805708173.8448,35,10
