"observation","entity","year","cooks_distance","above_cutoff","model"
753,"Mauritius",2018,0.0126525760848439,TRUE,"M1_bivariate"
172,"Burkina Faso",2019,0.00940370398856939,TRUE,"M1_bivariate"
721,"Mali",2017,0.00813566290679128,TRUE,"M1_bivariate"
271,"Comoros",2018,0.00692656514825943,TRUE,"M1_bivariate"
363,"Egypt",2014,0.00689600192163346,TRUE,"M1_bivariate"
749,"Mauritius",2016,0.00677281098138976,TRUE,"M1_bivariate"
666,"Madagascar",2016,0.0065139101534598,TRUE,"M1_bivariate"
255,"Colombia",2013,0.00617687363707336,TRUE,"M1_bivariate"
214,"Cameroon",2014,0.00603836706019027,TRUE,"M1_bivariate"
889,"Nigeria",2016,0.00580468752049486,TRUE,"M1_bivariate"
49,"Colombia",2013,0.0615587594481759,TRUE,"M2_controls"
276,"Zambia",2015,0.0452113834661323,TRUE,"M2_controls"
43,"Cameroon",2014,0.0378512709548643,TRUE,"M2_controls"
216,"Rwanda",2013,0.0347235059796782,TRUE,"M2_controls"
124,"Kazakhstan",2018,0.0280250245498862,TRUE,"M2_controls"
139,"Liberia",2014,0.0238502989396423,TRUE,"M2_controls"
118,"Kazakhstan",2015,0.0236731086086679,TRUE,"M2_controls"
116,"Kazakhstan",2014,0.0225751933092553,TRUE,"M2_controls"
120,"Kazakhstan",2016,0.0216349290954063,TRUE,"M2_controls"
24,"Bolivia",2014,0.0174977150291857,TRUE,"M2_controls"
43,"Cameroon",2014,0.0986461316555509,TRUE,"M3_country_year_FE"
44,"Cameroon",2014,0.0986461316555504,TRUE,"M3_country_year_FE"
247,"Togo",2018,0.0581688102485624,TRUE,"M3_country_year_FE"
137,"Laos",2018,0.0518472343734135,TRUE,"M3_country_year_FE"
136,"Laos",2018,0.0518472343734134,TRUE,"M3_country_year_FE"
78,"Egypt",2017,0.0397823975212087,TRUE,"M3_country_year_FE"
79,"Egypt",2017,0.0397823975212087,TRUE,"M3_country_year_FE"
49,"Colombia",2013,0.0376979376532856,TRUE,"M3_country_year_FE"
53,"Comoros",2014,0.0325569569482907,TRUE,"M3_country_year_FE"
54,"Comoros",2014,0.0325569569482907,TRUE,"M3_country_year_FE"
426,"Mauritius",2018,0.031668741124896,TRUE,"M4_country_year_pair_FE"
425,"Mauritius",2018,0.031668741124896,TRUE,"M4_country_year_pair_FE"
577,"Russia",2021,0.0305054322752822,TRUE,"M4_country_year_pair_FE"
578,"Russia",2021,0.0305054322752822,TRUE,"M4_country_year_pair_FE"
750,"Vietnam",2019,0.0210522885386119,TRUE,"M4_country_year_pair_FE"
749,"Vietnam",2019,0.0210522885386119,TRUE,"M4_country_year_pair_FE"
414,"Mali",2017,0.0202648116417248,TRUE,"M4_country_year_pair_FE"
413,"Mali",2017,0.0202648116417248,TRUE,"M4_country_year_pair_FE"
103,"Cameroon",2014,0.0196967272185903,TRUE,"M4_country_year_pair_FE"
104,"Cameroon",2014,0.0196967272185902,TRUE,"M4_country_year_pair_FE"
