"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid","strategic_to_social_ratio","log_ratio_strategic_to_social"
"Angola",2013,TRUE,TRUE,4269476743.51534,389895973.904334,"Both families funded",0.916320071917266,10.9502970773505,2.39336658624613
"Angola",2014,TRUE,TRUE,2338185128.73472,62887.7457803049,"Both families funded",0.999973104758205,37180.2980011885,10.5235342763371
"Angola",2015,TRUE,TRUE,2391349592.63209,503937441.529231,"Both families funded",0.825945602082522,4.74533026435858,1.55716103224429
"Angola",2016,TRUE,TRUE,15882221603.4518,907147332.241488,"Both families funded",0.94596894405525,17.5078744532138,2.86265074847896
"Angola",2017,TRUE,TRUE,508526828.693356,185906714.872194,"Both families funded",0.732290128271079,2.73538709477469,1.00627295959745
"Angola",2018,TRUE,TRUE,2073847722.38071,88027954.3212102,"Both families funded",0.959281675967832,23.5589675844713,3.15950653713016
"Angola",2020,TRUE,TRUE,55841850.1193699,1251882.35323121,"Both families funded",0.978073208756636,44.6063082327485,3.79787528922045
"Antigua and Barbuda",2013,TRUE,TRUE,51368731.7982049,6971470.7440421,"Both families funded",0.880503144654088,7.36842105263157,1.99720344344286
"Antigua and Barbuda",2018,TRUE,TRUE,6539098.48727206,57156564.555415,"Both families funded",0.102661596958175,0.114406779661017,-2.16799493902128
"Argentina",2016,TRUE,TRUE,633217718.453124,59069745.5306323,"Both families funded",0.914674541135388,10.7198314935139,2.37209543663048
"Argentina",2018,TRUE,TRUE,247341400.281065,19072370.5878768,"Both families funded",0.928410717938229,12.9685714285714,2.562528847973
"Argentina",2020,TRUE,TRUE,12564416.2768582,13347435.4369154,"Both families funded",0.484890713934562,0.941335609843701,-0.0604555506508378
"Argentina",2021,TRUE,TRUE,44500000,5342000,"Both families funded",0.892821315356527,8.33021340321977,2.11988907448443
"Azerbaijan",2021,TRUE,TRUE,152960000,2700000,"Both families funded",0.982654503404857,56.6518518518519,4.03692467629281
"Bangladesh",2013,TRUE,TRUE,145814689.065766,229969729.863207,"Both families funded",0.388027501196973,0.634060357215278,-0.455611128421194
"Bangladesh",2015,TRUE,TRUE,428137745.614069,5096846.52682163,"Both families funded",0.988235365736529,84.0005174495716,4.43082295893829
"Bangladesh",2016,TRUE,TRUE,1475691890.28945,409926346.102306,"Both families funded",0.782603743328913,3.59989521122696,1.28090473704591
"Bangladesh",2019,TRUE,TRUE,2545740003.36741,449425.844904855,"Both families funded",0.999823490805614,5664.42725141087,8.64196106533424
"Bangladesh",2021,TRUE,TRUE,1506547500,55800000,"Both families funded",0.964284514168583,26.9990591397849,3.29580201872254
"Barbados",2016,TRUE,TRUE,11217642.8294054,27748.9059464239,"Both families funded",0.997532419803644,404.255319148936,6.00204665643852
"Belarus",2013,TRUE,TRUE,456341735.613347,27518963.4633241,"Both families funded",0.943126268540022,16.5828097494129,2.80836660153833
"Belarus",2015,TRUE,TRUE,763099835.194418,37496327.6955205,"Both families funded",0.953164492370075,20.3513219052004,3.0131458682654
"Belarus",2016,TRUE,TRUE,1653126311.70185,71839101.2838889,"Both families funded",0.95835330914865,23.011511588503,3.13599459456683
"Belarus",2017,TRUE,TRUE,202566122.907638,85639845.2996386,"Both families funded",0.702851936646756,2.36532565184926,0.860915708806807
"Belarus",2018,TRUE,TRUE,761411054.247921,229900134.479645,"Both families funded",0.768084798099836,3.31192087369282,1.19752834544439
"Belarus",2021,TRUE,TRUE,19550000,45373643.4108526,"Both families funded",0.301122964961822,0.43086687623864,-0.841956108425222
"Benin",2013,TRUE,TRUE,239066408.593717,17902298.9295124,"Both families funded",0.930332766576669,13.3539502124841,2.59181223714388
"Benin",2014,TRUE,TRUE,6053394.72953849,1796792.73658014,"Both families funded",0.771114671549554,3.369,1.21461596442442
"Benin",2016,TRUE,TRUE,71078560.6845641,22034353.8122148,"Both families funded",0.763358778625955,3.22580645161291,1.17118298150295
"Benin",2021,TRUE,TRUE,840000000,1800000,"Both families funded",0.997861724875267,466.666666666667,6.14561522693524
"Bolivia",2013,TRUE,TRUE,13576021.9752398,5076164.48485425,"Both families funded",0.72785150439523,2.67446455207403,0.98374919286283
"Bolivia",2015,TRUE,TRUE,552608490.460676,9820466.77739824,"Both families funded",0.982539187125742,56.2711022792218,4.03018112236336
"Bolivia",2016,TRUE,TRUE,681630450.954316,64977267.0755006,"Both families funded",0.912970003515413,10.4902911684835,2.35045017878977
"Bolivia",2017,TRUE,TRUE,456480323.493346,4839820.25948809,"Both families funded",0.989508760185245,94.317619047619,4.54666801256464
"Bosnia and Herzegovina",2017,TRUE,TRUE,797877329.586322,6480088.35896265,"Both families funded",0.991943770002748,123.127538605669,4.81322071739681
