"variable","n","mean","sd","min","median","max"
"family_aid_usd2021",1345,418677608.617969,1676377009.12506,1637.79806052012,32472000,43000523181.6465
"log_family_aid",1345,16.8747797250057,3.12719212483569,7.40171836219637,17.2958887682966,24.4844781196042
"project_count",1345,5.65278810408922,6.0905159027593,1,4,74
"loan_share",1345,0.347994818572009,0.439934464393746,0,0,1
"development_intent_share",1345,0.724260674255518,0.372705929240432,0,1,1
"strategic_family",1345,0.427509293680297,0.494901201760855,0,0,1
"log_gdp_pc",1273,8.98003921780062,0.922947688137286,6.72613771432756,9.00354065459538,11.3133786821261
"cpi",804,33.8047263681592,11.8334404917897,8,32,75
"extreme_poverty",415,9.17571330026024,15.3147464513457,0,2.6633506,78.94202
"gini",415,0.384401802409639,0.0715181351773508,0.24025366,0.37847108,0.5583758
