"sector_family","entity","total_aid_usd2021","project_count","funded_project_count","rank_within_family"
"Social","Zambia",2395096428.65125,72,42,1
"Social","Angola",2310568476.73904,100,38,2
"Social","Sri Lanka",1820735619.1775,110,78,3
"Social","Iraq",1647928075.36776,15,8,4
"Social","Cameroon",1637225444.58616,69,35,5
"Social","Kenya",1627391164.76604,53,27,6
"Social","Cote d'Ivoire",1570702148.56327,71,44,7
"Social","Equatorial Guinea",1294579792.80287,52,20,8
"Social","Mongolia",1202918395.38831,113,70,9
"Social","Malaysia",1201301663.9335,100,82,10
"Strategic","Russia",86751555875.2424,74,70,1
"Strategic","Pakistan",31385703670.8839,76,73,2
"Strategic","Brazil",30972910467.7323,79,79,3
"Strategic","Angola",27519449469.5274,67,60,4
"Strategic","Indonesia",23689990241.7591,98,96,5
"Strategic","Venezuela",18919797746.778,18,7,6
"Strategic","Iran",16895247226.0628,23,22,7
"Strategic","Bangladesh",16502594782.5894,34,34,8
"Strategic","Laos",14937863272.2241,58,47,9
"Strategic","Kazakhstan",14181503149.713,37,37,10
