"entity","year","sector_family","project_count","funded_project_count","family_aid_usd2021","family_aid_usd2021_unadjusted","loan_share","development_intent_share","cpi","extreme_poverty","gini","gdp_pc","log_gdp_pc","log_family_aid","strategic_family","entity_year"
"Afghanistan",2014,"Social",5,3,2950061.86642334,2950061.86642334,0,1,12,NA,NA,3017.9426,8.0123306199289,14.8973370387409,0,"Afghanistan__2014"
"Afghanistan",2015,"Social",4,3,14992657.9113782,14992657.9113782,0,1,11,NA,NA,2967.6921,7.99553985901373,16.5230712333602,0,"Afghanistan__2015"
"Afghanistan",2016,"Social",8,3,43304618.3133107,43304618.3133107,0,1,15,NA,NA,2958.7854,7.99253412526866,17.5837698688834,0,"Afghanistan__2016"
"Afghanistan",2017,"Social",9,3,88912157.8849741,88912157.8849741,0,0.777777777777778,15,NA,NA,2952.999,7.99057654310519,18.3031594614916,0,"Afghanistan__2017"
"Afghanistan",2018,"Social",9,1,506496.645858367,506496.645858367,0,0.777777777777778,16,NA,NA,2902.392,7.97329050357744,13.135274954799,0,"Afghanistan__2018"
"Afghanistan",2020,"Social",10,6,4861875.59472574,4861875.59472574,0,1,NA,NA,NA,2769.6858,7.92648916314487,15.3969350519494,0,"Afghanistan__2020"
"Afghanistan",2021,"Social",7,5,33400000,33400000,0,0.857142857142857,NA,NA,NA,2144.1665,7.67050617775751,17.324066487887,0,"Afghanistan__2021"
"Albania",2016,"Social",4,2,1948893.77342829,1948893.77342829,0,0.75,39,0.13930316,0.33736297,13769.547,9.53021469357808,14.4827729870005,0,"Albania__2016"
"Albania",2017,"Social",3,3,4056085.8607782,4056085.8607782,0,1,38,0.39256993,0.33055663,14306.299,9.56845520877146,15.2157292394031,0,"Albania__2017"
"Albania",2020,"Social",3,1,163058.20234856,163058.20234856,0,1,NA,0.021277364,0.2941963,14869.22,9.60704858347182,12.0018686184385,0,"Albania__2020"
"Algeria",2016,"Social",1,1,17769640.171141,17769640.171141,0,1,34,NA,NA,15511.686,9.64934895432462,16.6930020069692,0,"Algeria__2016"
"Algeria",2017,"Social",1,1,34105728.2050665,34105728.2050665,0,1,33,NA,NA,15427.664,9.64391754050657,17.3449759400201,0,"Algeria__2017"
"Algeria",2018,"Social",1,1,65433.5882894543,65433.5882894543,0,1,35,NA,NA,15343.426,9.63844238766437,11.0888062705687,0,"Algeria__2018"
"Algeria",2020,"Social",7,3,7590471.00302571,7590471.00302571,0,1,NA,NA,NA,14194.155,9.56058553913239,15.8424043349252,0,"Algeria__2020"
"Algeria",2021,"Social",3,2,61200000,61200000,0,1,NA,NA,NA,14496.865,9.58168769813603,17.9296577638224,0,"Algeria__2021"
"Angola",2013,"Social",11,5,389895973.904334,389895973.904334,0.545454545454545,1,23,NA,NA,10150.916,9.2253192267034,19.7813905304944,0,"Angola__2013"
