"sector_family","sector_code","sector_name","total_aid_usd2021","project_count","funded_project_count","recipient_count","avg_funded_project_size_usd2021","share_of_total_aid"
"Strategic","320","INDUSTRY, MINING, CONSTRUCTION",206725625390.14,542,490,93,421889031.408449,0.263128698402106
"Strategic","230","ENERGY",185774028029.819,703,616,105,301581214.334121,0.23646066180789
"Strategic","210","TRANSPORT AND STORAGE",131237017527.097,788,654,114,200668222.518497,0.167043759277104
"Other","240","BANKING AND FINANCIAL SERVICES",64972718341.3234,277,268,48,242435516.198968,0.0826998915907716
"Other","510","GENERAL BUDGET SUPPORT",48953595394.0823,69,68,14,719905814.618857,0.0623101070021605
"Other","430","OTHER MULTISECTOR",37479876560.159,182,102,68,367449770.197637,0.0477058957588554
"Other","220","COMMUNICATIONS",24234141627.1986,295,202,80,119970998.154448,0.0308461910864834
"Other","250","BUSINESS AND OTHER SERVICES",13051345065.8754,161,142,48,91910880.7456011,0.0166122774237563
"Other","998","UNALLOCATED/UNSPECIFIED",11901766037.1499,114,104,42,114440058.049518,0.01514904695599
"Social","160","OTHER SOCIAL INFRASTRUCTURE AND SERVICES",10024819669.8954,679,306,127,32760848.5944295,0.0127599940572303
"Social","140","WATER SUPPLY AND SANITATION",9830815157.15766,203,125,74,78646521.2572613,0.0125130573031415
"Social","120","HEALTH",7442654618.5165,2887,1565,135,4755689.85208722,0.00947331042646865
"Other","310","AGRICULTURE, FORESTRY, FISHING",7063322631.55033,434,207,107,34122331.5533832,0.00899048140222784
"Other","600","ACTION RELATING TO DEBT",6768354549.79213,194,52,62,130160664.419079,0.00861503415287631
"Social","110","EDUCATION",6356657550.36604,1772,417,135,15243783.094403,0.00809100963781875
"Social","150","GOVERNMENT AND CIVIL SOCIETY",5728483694.14196,875,344,120,16652568.8783196,0.00729144466445596
"Other","330","TRADE POLICIES AND REGULATIONS",5147336702.53446,93,69,53,74599082.645427,0.00655173737759498
"Other","720","EMERGENCY RESPONSE",1298416334.24689,586,391,92,3320757.88809946,0.0016526765821588
"Other","520","DEVELOPMENTAL FOOD AID/FOOD SECURITY ASSISTANCE",983398704.965655,191,84,63,11707127.4400673,0.00125170946156088
"Other","740","DISASTER PREVENTION AND PREPAREDNESS",226079478.40031,26,16,18,14129967.4000194,0.000287763061665106
"Other","530","OTHER COMMODITY ASSISTANCE",179973250.435216,32,9,24,19997027.8261351,0.000229077198556503
"Other","730","RECONSTRUCTION RELIEF AND REHABILITATION",136114835.958406,29,21,23,6481658.8551622,0.000173252442948758
"Other","410","GENERAL ENVIRONMENTAL PROTECTION",126717553.465308,46,22,29,5759888.79387762,0.000161291203473684
"Social","130","POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH",1281954.03550956,4,3,4,427318.011836521,0.0000016317227055831
