"observation","entity","year","cooks_distance","above_cutoff","model"
82,"Bahrain",2013,0.00458328579193366,TRUE,"M1_bivariate"
83,"Bahrain",2014,0.00458328579193366,TRUE,"M1_bivariate"
84,"Bahrain",2015,0.00458328579193366,TRUE,"M1_bivariate"
85,"Bahrain",2016,0.00458328579193366,TRUE,"M1_bivariate"
86,"Bahrain",2017,0.00458328579193366,TRUE,"M1_bivariate"
87,"Bahrain",2018,0.00458328579193366,TRUE,"M1_bivariate"
88,"Bahrain",2019,0.00458328579193366,TRUE,"M1_bivariate"
89,"Bahrain",2020,0.00458328579193366,TRUE,"M1_bivariate"
90,"Bahrain",2021,0.00458328579193366,TRUE,"M1_bivariate"
151,"Bolivia",2019,0.00458328579193366,TRUE,"M1_bivariate"
308,"Morocco",2013,0.0380062644109322,TRUE,"M2_controls"
160,"Gambia",2015,0.0284328224866579,TRUE,"M2_controls"
72,"China",2013,0.0270473496557575,TRUE,"M2_controls"
76,"China",2017,0.0256575967501415,TRUE,"M2_controls"
75,"China",2016,0.0250655687390547,TRUE,"M2_controls"
57,"Burkina Faso",2014,0.0247445140139905,TRUE,"M2_controls"
371,"Qatar",2017,0.0240396968342087,TRUE,"M2_controls"
74,"China",2015,0.0239214739045174,TRUE,"M2_controls"
73,"China",2014,0.0238675467232651,TRUE,"M2_controls"
77,"China",2018,0.023453933958438,TRUE,"M2_controls"
57,"Burkina Faso",2014,0.0961306692401874,TRUE,"M3_country_year_FE"
58,"Burkina Faso",2018,0.0961306692401874,TRUE,"M3_country_year_FE"
292,"Mexico",2018,0.0503072942833892,TRUE,"M3_country_year_FE"
395,"Seychelles",2018,0.0271966456487471,TRUE,"M3_country_year_FE"
394,"Seychelles",2013,0.027196645648747,TRUE,"M3_country_year_FE"
357,"Philippines",2015,0.0237198230561484,TRUE,"M3_country_year_FE"
358,"Philippines",2018,0.0237198230561483,TRUE,"M3_country_year_FE"
223,"Israel",2014,0.0226627862943788,TRUE,"M3_country_year_FE"
1,"Albania",2014,0.0209690720868474,TRUE,"M3_country_year_FE"
88,"Costa Rica",2016,0.0190797995333463,TRUE,"M3_country_year_FE"
