"sector_code","sector_name","entity","total_aid_usd2021","funded_project_count","rank_within_sector"
"110","EDUCATION","Iraq",1615516839.72164,2,1
"110","EDUCATION","Ghana",486517169.357484,11,2
"110","EDUCATION","Equatorial Guinea",461741106.369363,3,3
"110","EDUCATION","Angola",452435367.19286,5,4
"110","EDUCATION","Cote d'Ivoire",305895201.690627,5,5
"120","HEALTH","Israel",448910227.83158,3,1
"120","HEALTH","Iran",423366910.675284,8,2
"120","HEALTH","Turkey",373563069.610091,6,3
"120","HEALTH","Sri Lanka",345002233.197519,47,4
"120","HEALTH","South Africa",328932368.871123,44,5
"130","POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH","Zimbabwe",1240000,1,1
"130","POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH","Angola",22336.7400477479,1,2
"130","POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH","Ghana",19617.2954618161,1,3
"130","POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH","Laos",0,0,4
"140","WATER SUPPLY AND SANITATION","Sri Lanka",1252061903.05019,9,1
"140","WATER SUPPLY AND SANITATION","Cameroon",1057199430.50655,4,2
"140","WATER SUPPLY AND SANITATION","Zambia",865608688.384599,6,3
"140","WATER SUPPLY AND SANITATION","Angola",725339049.70889,13,4
"140","WATER SUPPLY AND SANITATION","Kenya",471819105.739892,3,5
"150","GOVERNMENT AND CIVIL SOCIETY","Kenya",710930589.948263,3,1
"150","GOVERNMENT AND CIVIL SOCIETY","Ghana",486162082.919641,10,2
"150","GOVERNMENT AND CIVIL SOCIETY","Zambia",463242052.667627,7,3
"150","GOVERNMENT AND CIVIL SOCIETY","Tajikistan",431342715.052102,5,4
"150","GOVERNMENT AND CIVIL SOCIETY","Cote d'Ivoire",321114367.146662,10,5
"160","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","Malaysia",1129703251.18702,6,1
"160","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","Angola",891005036.759443,7,2
"160","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","Congo",872736480.913748,22,3
"160","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","Maldives",631944578.157102,6,4
"160","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","Zambia",587183365.852872,6,5
"210","TRANSPORT AND STORAGE","Pakistan",7205171294.30606,15,1
"210","TRANSPORT AND STORAGE","Kenya",6765301291.43829,10,2
"210","TRANSPORT AND STORAGE","Iran",6472472709.6497,7,3
"210","TRANSPORT AND STORAGE","Bangladesh",6191095340.95854,9,4
"210","TRANSPORT AND STORAGE","Indonesia",6138257868.35313,22,5
"220","COMMUNICATIONS","Russia",2345244277.60186,6,1
"220","COMMUNICATIONS","Turkey",1913169471.87539,6,2
"220","COMMUNICATIONS","South Africa",1874484257.53529,13,3
"220","COMMUNICATIONS","Indonesia",1536114560.64727,11,4
"220","COMMUNICATIONS","Cameroon",1202759918.41479,5,5
"230","ENERGY","Pakistan",23918291518.3833,54,1
"230","ENERGY","Angola",19259735020.0874,20,2
"230","ENERGY","Brazil",17214723309.4739,36,3
"230","ENERGY","Vietnam",10818959478.9827,26,4
"230","ENERGY","Bangladesh",9461914352.39647,21,5
"240","BANKING AND FINANCIAL SERVICES","Argentina",22486229536.631,9,1
"240","BANKING AND FINANCIAL SERVICES","Turkey",10307859727.008,43,2
"240","BANKING AND FINANCIAL SERVICES","Pakistan",6518896063.40178,13,3
"240","BANKING AND FINANCIAL SERVICES","Egypt",4890712867.81734,9,4
"240","BANKING AND FINANCIAL SERVICES","Angola",3485480822.40041,4,5
"250","BUSINESS AND OTHER SERVICES","Peru",2236022624.9419,3,1
"250","BUSINESS AND OTHER SERVICES","Russia",2034673794.33986,16,2
"250","BUSINESS AND OTHER SERVICES","South Africa",1192565295.83816,5,3
"250","BUSINESS AND OTHER SERVICES","Indonesia",1007033639.15684,28,4
"250","BUSINESS AND OTHER SERVICES","Thailand",928669217.745372,2,5
"310","AGRICULTURE, FORESTRY, FISHING","Ghana",822683485.743491,9,1
"310","AGRICULTURE, FORESTRY, FISHING","Chile",588747856.82536,4,2
